Add,Название,Монеты,used,Описание,Особые требования к отчёту,Тип
system,git: Создать репозиторий,1,0,Разместите ссылку на git-репозиторий в описании отчёта,* Ссылка на github,git
model,git: лицензия,½,0,Использование лицензии для git-репозитория,,git
model,git: .gitignore,½,0,Добавление файла .gitignore,,git
system,git: readme file,½,0,Использование readme-файла для git-репозитория,,git
model,git: ветки,1,0,"Использование веток (по назначению и смыслу)\nОпишите, какие ветки и для чего использовали",* Какие ветки используются и ссылки на них,git
system,git: коммиты,1,0,Регулярные коммиты\nДайте ссылку на историю коммитов,* Ссылка на историю коммитов,git
system,git: описания,1,0,"Понятные комментарии к коммитам и содержимое “отделительное”, а не всё скопом\nДайте здесь примеры нескольких таких коммитов\nА также дайте ссылку на историю изменений в git",* Ссылка на историю коммитов\n* Несколько примеров хороших коммитов,git
model,git: pull-requests,1,0,Разместите в отчёте ссылки на ваши pull request’ы,* Ссылки на PR,git
model,Общая видео-демка,1,0,"Итоговые комплексные демки, показывающие общий геймплей или многие реализованные возможности.\nМожно размещать здесь также и прошлые версии демок (помечая их в тексте).\n🦠 Задание можно дублировать если демонстрационного материала много :)","* Youtube, GDrive, tg-ссылка или любая другая с видео\n* Кратко описать контент",demo
model,"Небольшая демка, иллюстрирующая конкретный момент",½,0,"Подразумевается, что для демонстрации-описания многих заданий в отчёте записаны короткие видео-фрагменты с демонстрацией соответствующего момента\n🦠 Задание можно дублировать если демонстрационного материала много :)","* Youtube, GDrive, tg-ссылка или любая другая с видео\n* Кратко описать контент",demo
model,Трейлер игры,2,0,"Создание захватывающего трейлера к игре, который привлекает внимание людей к основным возможностям игры\n🦠 Задание можно дублировать если демонстрационного материала много :)","* Youtube, GDrive, tg-ссылка или любая другая с видео\n* Кратко описать контент",demo
model,Голосовое сопровождение видео-демки,1,0,"Подразумевается описание голосом того, что происходит на видео",,demo
model,Дополнительные эффекты в видео,1,0,,,demo
system,Информационный сайт по игре,3,3,⚛️ Количество монет может быть увеличено или уменьшено в зависимости от качества сайта,,site
model,Блог разработчика,2,0,"Блог разработчика, в котором публикуется информация по поводу игры",,site
model,Телеграм-канал по игре,1,0,,* Ссылка-приглашение на телеграм-канал,site
model,Активное ведение канала,2,0,,,site
model,"Аккаунты в других соц. сетях (Facebook, Instagram, Twitch и т.п.)",1,0,"Создание сообществ для продвижения игры через социальные сети путем создания каналов/чатов в Telegram, аккаунта игры в Instagram, страницы или группы игры в Facebook и т.д.\n⚛️ Количество монет может быть увеличено или уменьшено в зависимости от количества и качества проработки сообщества",,site
system,1. Классы игровых элементов,1,0,Базовый класс для игрового элемента и конкретные наследники,,micro
model,2. Коллекция игровых элементов,1,0,Любая двумерная коллекция/массив из этих классов (заполненная),,micro
model,3. Вывод символов-клеток,1,0,"Вывод на экран массива в виде символов-клеток\n(через вызов перекрытого метода классов-элементов, полиморфизм)",,micro
model,4. Ввод с консоли,1,0,"Пользовательский ввод с консоли (вверх, вниз, влево, вправо), организовать в цикле",,micro
model,5. Перемещение игрока,1,0,Перемещение игрока по полю\n(изменения в массиве и отображение в консоли),,micro
model,6. Взаимодействие игрока,1,0,"Взаимодействие игрока с некоторыми игровыми элементами (например, нельзя пройти через препятствие или можно собрать призы)",,micro
model,7. Без дублирования кода,1,0,Попробовать реализовать его без дублирования кода (через общую функцию или через dictionary или иначе),,micro
model,8. Заполнить coda-отчёты :),1,0,,,micro
model,Относительно простой уровень для примера,½,26,🦠 Можно дублировать задание задание для каждого уровня,* нужен скриншот уровня,levels
model,Уровень-туториал,1,1,Специальный уровень с инструкциями к игре,,levels
model,Продуманный интересный уровень (с задумкой),1,5,🦠 Можно дублировать задание задание для каждого уровня,* нужен скриншот уровня\n* пояснение задумки,levels
model,Вариативные размеры поля,1,12,Разные уровни могут иметь разные размеры поля,,levels
model,Карта в виде «тора»,1,2,"Имеется в виду, что если, к примеру, перейти за левый край, то появляемся с правой стороны (и аналогично по вертикали)",,levels
model,Ограниченная видимость,2,0,"Видимость только ближайшего пространства рядом с игроком\nНапример, игрок видит только несколько соседних клеток, а остальные для него невидимы, и эта видимая область «перемещается» вместе с игроком",,levels
model,Скрол видимой области при движении игрока,2,0,"Видимая область перемещается с игроком (фрейм отображаемой области)\nПримерно как скролл в окне, но тут он просто зависит от перемещения игрока",,levels
model,Сохранение текущего состояния игры,2,3,И в дальнейшем можно загрузиться и продолжить играть с него,,levels
model,Эмуляция прохождения уровня (без алгоритма),3,0,Просто захардкодженные действия (как бы визуально ходим вместо игрока),,levels
model,Эмуляция прохождения уровня (алгоритм),4,1,Расчёт оптимального маршрута и далее визуально ходим вместо игрока\n⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено,,levels
model,Случайная генерация уровней,2,6,Просто самый обычный рандом для размещаемых элементов,,levels
model,Усложнённая генерация уровней,4,3,"Особые алгоритмы генерации задающие принципы генерации (например, особые случайные области с элементами, или расстановка ключей и дверей, или случайная генерация лабиринта и т.п.), то есть не только обычный банальный рандом",,levels
model,Интеллектуальная генерация уровней,8,1,"Например, использование особых шаблонов, формирование сложных схем, хитрые алгоритмы, и в итоге уровни получаются красиво/интересно выглядящими (как будто человек мог их так придумать/продумать) или их прохождение требует определённой заложенной алгоритмом “смекалки” и т.п.\n⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",,levels
model,Проверка проходимости уровня,4,2,"Нечто более или менее базовое, например, проверка наличия пути до выхода, возможность собрать все призы и т.п.",,levels
model,Особая проверка проходимости уровня,8,0,"Дополнительные проверки, использующие особенности игровой механики для прохождения уровня (например, перемещение камней, использование инвентаря, учёт поведения противников и т.п.)\n⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",,levels
model,Проверка на тупик во время игры,4,1,"Здесь подразумевается проверка во время игры.\nЛибо автоматическая (каждый раз проверяется и если игрок оказывается в непроходимом тупике, то что-то происходит — либо телепорт, либо плюс одна жизнь на взорваться, либо уничтожение произвольной стены, чтобы избавиться от тупика и т.п.)\nTODO: “скрестить” с заданиями выше, и просто серебро за реакцию на подобные действия? 🤔",,levels
model,Подсказка для прохождения уровня,4,1,"Опциональная подсказка или режим игры с постоянными подсказками: какой сделать следующий шаг или несколько шагов, чтобы в итоге победить\n⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",,levels
model,Редактор уровней,4,6,"Базовая возможность создавать новые и редактировать существующие уровни, прямо из интерфейса игры\n⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",,levels
model,Доп. фичи редактора уровней,,0,"TODO: добавить различные небольшие задания, добавляющие редактору уровней полезную функциональность",,levels
model,Выбора курсора в редакторе,2,1,"возможность выбора курсора (точка, линия, соединенные линии) и реализованная на абстрактном классе.",,levels
model,Абстрактная реализация инструментария редактора,1,1,использование инструментов реализовано абстракцией через базовый класс,,levels
model,динамическое масштабирование поля,1,1,"во время изменения размеров поля, автоматически изменять размеры клеток, чтобы занимаемая площадь на экране оставалась такой же",,levels
model,выделение активных инструментов,1,1,"выбранные курсоры, инструменты и тд. как-либо выделяются",,levels
system,Блок для отображения информации,1,22,"Например, жизни игрока, результаты, время т.п.\n💡 Не забудьте добавить ещё соответствующие задания из Результаты и статистика (что именно отображаете)",,interface
model,Цветные клетки,1,15,"Здесь подразумевается, что разные игровые элементы имеют разные цвета\n🔲 Актуально только для консоли",(актуально для консоли),interface
system,Главное меню игры,1,23,,,window
model,Выбор пунктов меню курсорными клавишами ↑↓,1,14,,,window
system,Выделение активного пункта меню,1,16,"Например, фоновым цветом",,window
system,Инструкция к игре,1,18,,,window
model,Заставка победы,1,16,,,window
model,Заставка поражения,1,13,,,window
model,Пауза,1,8,Возможность поставить игру на паузу,,window
model,Результаты игроков,1,11,💡 Не забудьте добавить ещё соответствующие задания из Результаты и статистика,,window
model,Выбор уровня для запуска,1,9,,,window
model,Выбор сложности игры,1,5,,,window
model,Регулировка скорости игры,1,2,Как быстро будут происходить все события в игре,,window
model,Публикация в магазине (Steam и т.п.),2,0,"Публикация игры в общий доступ через одну из площадок для размещения игр в публичном доступе (например, Steam и другие)\n⚛️ Количество монет может быть увеличено или уменьшено в зависимости от обстоятельств",,site
model,Обзор (рецензия) к игре,1,0,,,site
model,Пасхалочка,1,7,"Например, типа кода Konami или любая другая :)\n🦠 Можно дублировать задание задание для каждой пасхалки",,misc
model,Возможность играть вдвоём,2,2,"Подразумевается на одном компьютере, например, разными сочетаниями клавиш для разных игроков\n💡 Не забудьте добавить игровой элемент для второго игрока (см. Особенности)",,misc
model,Аккаунты,3,1,Сохранение данных отдельных игроков\ntodo: скорее всего это задание надо раздробить на несколько более мелких...,,misc
