name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
Кольорові клітинки у консолі,,,,,🎆 Інтерфейс,Основні можливості,,,,,,,,notion-tasks
«Косметична» анімація,"(наприклад, у головному меню на фоні)",,,,🎆 Інтерфейс,Основні можливості,,,,,,,,notion-tasks
Псевдографіка для оформлення меню чи мапи,,,,,🎆 Інтерфейс,Основні можливості,,,,,,,,notion-tasks
Анімаційний перехід між «вікнами»,"(наприклад, при переході до меню, результатів, …)",,,,🎆 Інтерфейс,Основні можливості,,,,,,,,notion-tasks
Звуковий супровід,"(при певних подіях у грі, чи у меню, тощо)",,,,🎆 Інтерфейс,Основні можливості,,,,,,,,notion-tasks
Музичний супровід,(на фоні),,,,🎆 Інтерфейс,Основні можливості,,,,,,,,notion-tasks
Головне меню гри,,,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Інструкція до гри,,,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Основний геймплей,,,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Пауза,(тимчасова зупинка гри),,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Заставки перемоги або поразки,,,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Кращі результати,,,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Вибір ігрового рівня чи його складності,,,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Вибір гравця,"(наприклад, в кожному акаунті свої налаштування та результати)",,,,*️⃣ Вікна,Основні можливості,"Наприклад, такі:",,,,,,,notion-tasks
Гучність звуків,,,,,*️⃣ Вікна,Основні можливості,"Деякі налаштування гри, наприклад:",,,,,,,notion-tasks
Швидкість гри,,,,,*️⃣ Вікна,Основні можливості,"Деякі налаштування гри, наприклад:",,,,,,,notion-tasks
Вибір клавіш для дій гравця,,,,,*️⃣ Вікна,Основні можливості,"Деякі налаштування гри, наприклад:",,,,,,,notion-tasks
"Візуальна тема гри (стиль, скін)",,,,,*️⃣ Вікна,Основні можливості,"Деякі налаштування гри, наприклад:",,,,,,,notion-tasks
Мова інтерфейсу,,,,,*️⃣ Вікна,Основні можливості,"Деякі налаштування гри, наприклад:",,,,,,,notion-tasks
Додаткові налаштування,,,,,*️⃣ Вікна,Основні можливості,"Деякі налаштування гри, наприклад:",,,,,,,notion-tasks
тощо…,,,,,*️⃣ Вікна,Основні можливості,"Деякі налаштування гри, наприклад:",,,,,,,notion-tasks
Введення імені гравця після закінчення гри,,,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Підрахунок кількості ходів гравця,,,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Зворотний відлік часу підчас гри,,,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Час проходження гри,,,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Простий підрахунок балів,"(наприклад, кількість зібраних призів)",,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Спеціальна формула для балів,"(наприклад, використовучі час, призи, місії тощо)",,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Список усіх результатів всіх ігор,,,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Список найкращих результатів,,,,,📊 Результати та статистика,Основні можливості,,,,,,,,notion-tasks
Відносно прості рівні,(для прикладу),,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Рівні-туторіали,(з інструкціями для гри),,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Продумані цікаві рівні,(з певним задумом),,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Завантаження рівнів з файлів,,,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Завантаження рівнів з БД,,,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Варіативні розміри поля,(можуть бути різними),,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Мапа у вигляді «тора»,"(виходячі за праву границю, ми попадаємо на ліву, як в Pacman)",,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Обмежена видимість на мапі,(тільки декілька клітинок у різних напрямках),,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
"Якщо мапа дуже велика, то відображення тільки невеличкого фрейму активної області",,,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Випадкова генерація рівня,,,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Більш «інтелектуальні» кейси генерації рівнів див. у завданнях підвищенної складності,,,,,📶 Ігрові рівні (levels),Основні можливості,,,,,,,,notion-tasks
Гра декулько гравців за одним компом,,,,,🌀 Різне,Основні можливості,,,,,,,,notion-tasks
Декілька життів у гравця,,,,,🌀 Різне,Основні можливості,,,,,,,,notion-tasks
Завантаження та збереження поточного стану гри,,,,,🌀 Різне,Основні можливості,,,,,,,,notion-tasks
Якійсь пасхалочки,"(наприклад, по типу коду Konami, тощо)",,,,🌀 Різне,Основні можливості,,,,,,,,notion-tasks
тощо…,,,,,🌀 Різне,Основні можливості,,,,,,,,notion-tasks
Інформаційний сайт по грі,,,,,🌐 Сайти та канали,Основні можливості,"Це не є обовʼязковим, але можна створити за бажанням:",,,,,,,notion-tasks
Блог розробника,(з інформацією по грі),,,,🌐 Сайти та канали,Основні можливості,"Це не є обовʼязковим, але можна створити за бажанням:",,,,,,,notion-tasks
"Телеграм-канал, присвячений грі",,,,,🌐 Сайти та канали,Основні можливості,"Це не є обовʼязковим, але можна створити за бажанням:",,,,,,,notion-tasks
Акаунти в інших соц. мережах,,,,,🌐 Сайти та канали,Основні можливості,"Це не є обовʼязковим, але можна створити за бажанням:",,,,,,,notion-tasks
Публікація гри у магазині,"(наприклад, Steam)",,,,🌐 Сайти та канали,Основні можливості,"Це не є обовʼязковим, але можна створити за бажанням:",,,,,,,notion-tasks
Обзор (рецензія) по грі,,,,,🌐 Сайти та канали,Основні можливості,"Це не є обовʼязковим, але можна створити за бажанням:",,,,,,,notion-tasks
Інерція для гравця,"(зупиняється рух тільки на перешкодах, пастках тощо, як в Inertia)",,,,👤 Гравець,Ігрові елементи,,,,,,,,notion-tasks
Автоматичний рух гравця,"(але може змінювати напрямок, як в Pacman)",,,,👤 Гравець,Ігрові елементи,,,,,,,,notion-tasks
Гравітація для гравця,"(падає вниз, якщо під ним немає опори, як в Lode Runner)",,,,👤 Гравець,Ігрові елементи,,,,,,,,notion-tasks
Міношукач для гравця,"(показує скільки поруч невидимих мін, як в Mined-Out)",,,,👤 Гравець,Ігрові елементи,,,,,,,,notion-tasks
Різні іконки напряму,(як в Battle City),,,,👤 Гравець,Ігрові елементи,,,,,,,,notion-tasks
