Название,coins,used,Описание,Идея взята из,color,Тип
— (player),0,17,,,⬛️,Взаємодія
— (только визуальный объект),0,6,,,⬛️,Взаємодія
✨ исчезает,1,43,"Объект исчезает, когда на него наступает игрок",,⬛️,Взаємодія
⛔️ непроходим,1,48,"Например, стандартная обычная стена (непроходимое препятствие)",,⬛️,Взаємодія
🎉 victory,1,28,Собственно это основное назначение клетки финиша :),,🟦,Взаємодія
on start,0,30,Створюється на початку гри,,⬛️,Коли зʼявляється
через время,1,15,,,🟦,Коли зʼявляється
при взрыве,1,10,,💣 8: Bomberman,🟦,Коли зʼявляється
использует игрок,1,20,,,🟦,Коли зʼявляється
когда собрали все монетки,1,6,,,🟦,Коли зʼявляється
don’t move,0,13,не рухається,,⬛️,Як рухається
🖐 управляется человеком,1,48,"Например, с помощью курсорных клавиш",,,Як рухається
↗️ в т.ч. по диагонали,2,6,"Возможность для игрока двигаться по диагонали

💡 Для этого можно использовать либо цифровую клавиатуру, либо буквенные клавиши, либо вообще дать возможность пользователю самому настраивать клавиши",🏂 7: Inertia,🟦,Як рухається
⏬ падает (гравитация),2,8,"Падение игрока вниз, если под ним нет опоры

(для базового выполнения задания достаточно, чтобы игрок мгновенно оказывался внизу)

TODO: и другие элементы могут падать",💰 4: Lode Runner,🟦,Як рухається
🏄‍♂️ инерция неуправляемая,0,7,"Автоматическое движение игрока в определённом направлении (без возможности его изменить), пока он не встретится с преградой, точкой остановки и прочими игровыми элементами",🏂 7: Inertia,🟦,Як рухається
😃 инерция управляемая,1,3,"Автоматическое движение игрока в определённом направлении, но с возможность изменить направление движения в любой момент",👻 9: Pac-Man,🟦,Як рухається
🌀 анимация инерции (сразу в конечную точку),1,3,Передвижение сразу в конечную точку.,,🟦,Як рухається
🌀 анимация инерции,2,3,Присутствует анимация передвижения.,,🟦,Як рухається
⏩ можно толкать,2,2,"Например, особый “перемещаемый” игроком вид препятствий (камни)",💎 2: Boulder Dash,🟦,Як рухається
прямолинейное движение,1,11,...,,🟦,Як рухається
двигается по шаблону,1,7,,,,Як рухається
изменяет свой вид в зависимости от направления движения,1,6,"Например, при движении вправо - картинка или символ игрока смотрит вправо, а при движении влево - смотрит влево.",,,Особливості
наивный противник,2,8,"Противник двигается навстречу игроку, но при этом не учитывает наличие препятствий (то есть может упереться в преграду и “тупить”)",,,Як рухається
—,0,7,Немає ніяких особливостей,,⬛️,Особливості
⛏ копает яму,1,5,,💰 4: Lode Runner,🟦,Особливості
🗿 толкает камни,,3,TOFIX: Хм.. Это же фича самого камня?..,💎 2: Boulder Dash,🟦,Особливості
🦠 размножается,2,2,,"🧿 3: New Ball Game,💎 2: Boulder Dash",🟦,Особливості
2️⃣ второй игрок,1,3,"Для случаев, когда игра на двоих (либо по сети, либо за одним компом)","💥 5: Battle City,💰 4: Lode Runner",🟦,Особливості
🧨 определяет соседние мины,1,2,"Возможность для игрока узнавать, сколько рядом находится скрытых мин",🧨 6: Mined-Out,🟦,Особливості
есть инвентарь,1,8,Возможность собирать предметы для дальнейшего их использования,,🟦,Особливості
🔫 стреляет,1,10,"В самом простом виде это может быть хотя бы “мгновенный выстрел”, когда пуля достигает цели сразу.

Если же сделаете плавный полёт пули берите себе в отчёт ещё пару заданий ниже ↓ (TOFIX)",,🟦,Особливості
проигрыш,1,33,,,🟦,Взаємодія
💰 plus score,1,27,Добавление некоторого количества очков (score) у текущего результата игрока,,🟦,Взаємодія
🌀 random teleport,1,4,🌀 телепорт в случайное место,,🟦,Взаємодія
⛔️ непроходим для противников,1,6,,,🟦,Особливості
💥 уничтожимость,1,20,,,🟦,Особливості
🔆 автоматическое восстановление,1,3,"Например, стена, которая через какое-то время сама восстанавливается (вновь появляется после уничтожения)",💰 4: Lode Runner,🟦,Особливості
открывается ключом 🗝,1,9,,🗝 1: Лабиринт,🟦,Особливості
❗️ элемент обязательный,1,23,"Например, чтобы пройти уровень, нужно обязательно все призы",,🟦,Особливості
случайная работоспособность телепорта,1,1,"Имеется в виду, что он может либо сработать, либо не сработать (случайная составляющая)",🧿 3: New Ball Game,🟦,Особливості
Маркировка потенциальных мин,1,0,маркировка выбранной соседней ячейки,🧨 6: Mined-Out,🟦,Особливості
🌀 random teleport in area,1,0,🌀 случайный телепорт в некоторой области,,🟦,Взаємодія
🌀 random teleport nearby,1,1,🌀 случайный телепорт рядом с игроком,,🟦,Взаємодія
plus speed,1,1,Изменение скорости перемещения игрока,,🟦,Взаємодія
minus speed,1,2,Изменение скорости перемещения игрока,,🟦,Взаємодія
stops player,1,4,Актуально для инерциальных игроков,🏂 7: Inertia,🟦,Взаємодія
После движения игрока,1,9,,,🟦,Коли зʼявляється
умный противник,4,12,"Некоторый алгоритм поведения, обычно зависящий от игрока (например, для движения к игроку можно использовать волновой алгоритм с учётом препятствий и т.п.)

В зависимости от сложности алгоритма количество монет может быть увеличено/уменьшено",,,Як рухається
інтелектуальний противник,6,2,,,,Як рухається
Міцність,,6,,,,Особливості
Health booster,1,5,"Збільшує hp гравця, щоб той пережив більше пасток",,,Взаємодія
Trap,1,4,Прихована пастка для гравця.,,,Взаємодія
Обмен предметами,1,2,При взаимодействии с таким элементом игрок может получить от него некоторые предметы или отдать ему что-то,,,Взаємодія
Разговаривает,2,2,"(Не уверена по поводу кол-ва монеток, напишите мне пожалуйста, если его нужно уменьшить)
NPC “говорит” в консоль определенные реплики в зависимости от места в сюжете",,,Особливості
Отображает определенное окно,1,2,При взаимодействии открывает некоторое окно (например - открытие окна содержимого сундука при взаимодействии с ним),,,Взаємодія
Телепорт на другую карту,2,2,"(Не уверена по поводу кол-ва монеток, напишите мне пожалуйста, если его нужно уменьшить)
Перемещает игрока в заданное место заданной карты",,,Взаємодія
minus score,1,4,Забирає у гравця деяку кількість очків,,,Взаємодія
Саморазрушается,1,2,Элемент разрушается в определенное время вне зависимости от действий игрока,,,Особливості
Баф,1,3,Дає якийсь особливий ефект гравцю,,,Взаємодія
Мана,1,1,Додає гравцю певну кількість мани,,,Взаємодія
Устанавливает баррикаду,1,1,,,,Особливості
коли зібрали попередній такий елемент,1,3,,,🟦,Коли зʼявляється
випадає з іншого елемента,1,1,"Якщо розбити ящик, чи вбити ворога.",,,Коли зʼявляється
изменяет направление движения,1,2,при каком то определенном действии игровые элементы изменяют свою сторону движения,,,Взаємодія
Забирає життя у гравця,,2,,,,Взаємодія
Додає гравцю життя,,2,,,,Взаємодія
Додає гравцю броню,,0,,,,Взаємодія
Змінює кількість броні,,1,,,,Взаємодія
Віднімає життя у гравця,,0,,,,Взаємодія
после смерти одного из игроков,1,1,,,,Коли зʼявляється
Переключатель,1,1,Переключает состояние других элементов,,,Взаємодія
Переключаемый,1,1,Свойство может быть переключено,,,Особливості
Генератор ворогів,½,1,"Точки спавна ворогів. Тобто рівень можна проектувати таким чином, що вороги можуть спавнитись на декількох точках одночасно. ",,,Особливості
Создаёт юнитов,1,1,При взаимодействии создаёт юнита,,,Взаємодія
Технічний елемент,1,1,"Використовується виключно розробниками рівнів, у грі не має прямої взаємодії з гравцем, проте може впливати на інші елементи",,,Взаємодія
