Название,#,Монета,Категория,Описание задания,Игры из которых взяты идеи,Баллы,new,Used
Использование git-репозитория,1,бронза,Сопровождение,"Разместите ссылку на git-репозиторий в описании отчёта, а также напишите, если используете особые ветки или механизм pull-реквестов и т.п. Коэффициенты: ×0.5 ー если просто загрузили архив ×2.0 ー если делаете полноценные коммиты и тем самым ведёте лог изменений",,1,false,67
Видео-демки,1,бронза,Сопровождение,"Загружайте демки в YouTube или прикрепляйте в виде GIF'ок.  В каждом задании могут быть свои мини-демки и мини-гифки, но в этом пункте подразумеваются некоторые итоговые комплексные демки, показывающие общий геймплей или все реализованные возможности. Можете размещать здесь также и прошлые версии демок (помечая их в тексте).",,1,false,81
Точка остановки,1,серебро,Элементы,(на которой останавливается игрок с инерцией),🏂 7. Inertia,2,false,4
Цветные клетки,1,бронза,Интерфейс,,,1,false,42
Музыкальное сопровождение,1,бронза,Интерфейс,,,1,false,27
Звуковое сопровождение,1,бронза,Интерфейс,,,1,false,28
Песок,1,серебро,Элементы,"(уничтожается, когда на него ступает игрок)",💎 2. Boulder Dash,2,false,7
Управление курсорными клавишами,1,серебро,Игрок,"Основной игровой элемент, присутствующий во всех вариантах",,2,false,29
Разные иконки направлений,0.5,серебро,Игрок,"В зависимости от того, куда направлен игрок ー отображается для него разная иконка",🎮 5. Battle City,1,false,14
Клетка выхода,1,серебро,Финиш,,,2,false,13
Миноискатель,0.5,серебро,Игрок,"Возможность для игрока узнавать, сколько рядом находится скрытых мин",🚧 6. Mined-Out,1,false,2
Инерция движения игрока,0.5,серебро,Игрок,,"🏂 7. Inertia,👻 9. Pac-Man",1,false,8
Гравитация для игрока,0.5,серебро,Игрок,,💰 4. Lode Runner,1,false,5
Хвост «змейки» (шлейф за игроком),0.5,серебро,Игрок,,🐍 A. Змейка,1,false,0
Простое задание на 60+,60,бронза,Основа,"Опишите, что и как вы реализовали (как можно подробнее), приведите скриншоты приложения",,60,false,21
Игровое задание на 75+ или 90+,75,бронза,Основа,"Опишите очень кратко вашу суть игры, приведите несколько «рекламных» скриншотов игры",,75,false,112
UML-диаграммы классов,1,бронза,Сопровождение,,,1,false,17
От преподавателя,,,Замечание,,,0,false,36
Ваше исправление,,,Замечание,,,0,false,10
Использование многопоточности,1,бронза,разное,,,1,true,0
Главное меню игры,1,бронза,Меню,,,1,false,46
Вариативные размеры поля,1,бронза,Интерфейс,,,1,false,20
Список лучших результатов,1,бронза,Результаты,,,1,false,9
Ввод имени игрока,1,бронза,Результаты,,,1,false,17
Подсчёт количества ходов,1,бронза,Результаты,,,1,false,9
Подсчёт времени прохождения уровня/игры,1,бронза,Результаты,,,1,false,20
"Подсчёт очков, полученных игроком",1,бронза,Результаты,(хотя бы некоторая формула),,1,false,26
При получении определённого количества очков,0.5,серебро,Финиш,,,1,false,23
При достижении клетки выхода (видимой изначально),0.5,серебро,Финиш,,,1,false,9
Клетка выхода появляется через некоторое время,0.5,серебро,Финиш,,,1,false,0
Клетка выхода появляется при определённых обстоятельствах,0.5,серебро,Финиш,,,1,false,9
Жизни игрока,1,бронза,Фичи,Их может быть несколько. Потеря жизни ー начинать уровень или игру сначала (или с точки сохранения и т.п.),🎮 5. Battle City,1,false,22
Обратный отсчёт времени,1,бронза,Результаты,(если не успеть выиграть — game over),,1,false,4
Карта в виде «тора»,1,бронза,Фичи,(если идём через левый край — возникаем справа и т.п.),👻 9. Pac-Man,1,false,4
Продуманные интересные уровни,1,бронза,Уровни,,,1,false,17
Случайная генерация уровней,1,бронза,Уровни,(в очень простом виде),🚧 6. Mined-Out,1,false,13
Пасхалочка типа кода Konami,1,бронза,Фичи,,,1,false,3
Сохранение текущего состояния игры,1,серебро,Фичи,(в дальнейшем можно загрузиться с него и продолжить),,2,false,9
Управление с помощью мыши (3-я лаба),1,серебро,3-я лаба (todo),,,2,false,0
Видимость только ближайшего пространства рядом с игроком (ограниченная видимость),1,серебро,Фичи,,💰 4. Lode Runner,2,false,1
Видимая область перемещается с игроком (фрейм отображаемой области),1,серебро,Фичи,(как скролл в окне),,2,false,3
Непроходимая и неуничтожимая стена,1,серебро,Препятствия,,"💎 2. Boulder Dash,🎮 5. Battle City",2,false,28
Уничтожимая стена,1,серебро,Препятствия,,"💎 2. Boulder Dash,💰 4. Lode Runner,🎮 5. Battle City,💥 8. Bomberman",2,false,10
Восстанавливающаяся стена,1,серебро,Препятствия,,💰 4. Lode Runner,2,false,4
Вода,1,серебро,Препятствия,"(пройти нельзя, но выстрелы проходят)",🎮 5. Battle City,2,false,3
Прозрачная стена,1,серебро,Препятствия,"(шарик пролетает, но нельзя поставить зит)",🎱 3. New Ball Game,2,false,1
Двери,1,серебро,Препятствия,Можно открыть ключом.,,,,
,,,,,,,,
Ключ нужно собрать отдельно (инвентарь).,🔦 1. Лабиринт,2,false,6,,,,
Двери: авто-закрытие через N шагов,0.5,серебро,Препятствия,,,1,false,0
Двери: авто-закрытие через N секунд,0.5,серебро,Препятствия,,,1,false,0
Телепорт между двумя (или более) точками на экране,1,серебро,Телепорты,,🎱 3. New Ball Game,2,false,7
Телепорт в случайное место на экране,1,серебро,Телепорты,,,2,false,5
Телепорт в случайное место на некоторой области,1,серебро,Телепорты,,,2,false,0
Телепорт в случайное место на небольшое расстояние рядом,1,серебро,Телепорты,,,2,false,1
"Телепорт, который иногда работает, а иногда нет",1,серебро,Телепорты,,🎱 3. New Ball Game,2,false,2
Изменение направления движения (в определённую сторону),1,серебро,Движение,,🎱 3. New Ball Game,2,false,9
Изменение направления движения (в случайном направлении),1,серебро,Движение,,🎱 3. New Ball Game,2,false,0
Изменение направления движения (по часовой стрелке),1,серебро,Движение,,🎱 3. New Ball Game,2,false,0
Ускорение движения,1,серебро,Движение,,🎱 3. New Ball Game,2,false,2
Замедление движения,1,серебро,Движение,,🎱 3. New Ball Game,2,false,1
Действие элемента деактивируется через N шагов,0.5,серебро,Инвентарь,,,1,false,0
Действие элемента деактивируется через N секунд,0.5,серебро,Инвентарь,,,1,false,1
Лом,1,серебро,Инвентарь,(может уничтожать препятствия),,2,false,0
Мина,1,серебро,Инвентарь,"(можно поставить, и на ней подорвётся противник)",,2,false,0
Ключ,1,серебро,Инвентарь,(которым можно открыть дверь),🔦 1. Лабиринт,2,false,5
Бомбочка,1,серебро,Инвентарь,"(можно поставить, отойти, и она взорвётся)",💰 4. Lode Runner,2,false,2
Верёвка-ловушка,1,серебро,Инвентарь,(можно поставить и противник в неё поймается),💰 4. Lode Runner,2,false,0
Дрель,1,серебро,Инвентарь,(можно пробивать стены вниз),💰 4. Lode Runner,2,false,0
Газовый пистолет,1,серебро,Инвентарь,(останавливает противников на время),💰 4. Lode Runner,2,false,0
Банка с клеем,1,серебро,Инвентарь,(можно разлить и тогда будет медленное перемещение),💰 4. Lode Runner,2,false,0
Кирка,1,серебро,Инвентарь,(может создать препятствие из камней с «потолка»),💰 4. Lode Runner,2,false,0
Динамит,1,серебро,Инвентарь,"(если на него двинуть камень, он взрывается)",,2,false,0
Ограниченный рюкзак для элементов,0.5,серебро,Инвентарь,,,1,false,0
Неограниченный рюкзак для элементов,0.5,серебро,Инвентарь,,,1,false,3
Призы медленно перемещаются по карте,1,серебро,Бонусы,,👻 9. Pac-Man,2,false,2
Дополнительная жизнь,1,серебро,Бонусы,,💥 8. Bomberman,2,false,9
Дополнительные патроны или боезапас,1,серебро,Бонусы,,,2,false,0
Улучшение выстрелов или взрывов,1,серебро,Бонусы,,"🎮 5. Battle City,💥 8. Bomberman",2,false,1
Ускорение игрока,1,серебро,Бонусы,,💥 8. Bomberman,2,false,4
"Дополнительное время (например, на прохождение уровня)",1,серебро,Бонусы,,,2,false,1
Замедление противников (на некоторое время),1,серебро,Бонусы,,,2,false,4
Дополнительные бомбочки,1,серебро,Бонусы,,"💰 4. Lode Runner,💥 8. Bomberman",2,false,1
Улучшение прочности/бронированности игрока,1,серебро,Бонусы,,🎮 5. Battle City,2,false,1
Дополнительные очки,1,серебро,Бонусы,,,2,false,8
Уменьшение жизней,1,серебро,Анти-бонусы,,,2,false,6
Уменьшение патронов или боезапаса,1,серебро,Анти-бонусы,,,2,false,0
