Описание,coins,used in interface,who added,Название,Тип
"Итоговые комплексные демки, показывающие общий геймплей или многие реализованные возможности.

Можно размещать здесь также и прошлые версии демок (помечая их в тексте).

🧩 Задание можно дублировать если демонстрационного материала много :)",1,0,Віталій Ляпота,Общая видео-демка (до 5 мин) 🧩,Відео-демки
,1,0,Віталій Ляпота,Короткая видео-демка (до 1 мин) 🧩,Відео-демки
"Создание захватывающего трейлера к игре, который привлекает внимание людей к основным возможностям игры

🧩 Задание можно дублировать если демонстрационного материала много :)",2,0,Віталій Ляпота,Трейлер игры 🧩,Відео-демки
"Подразумевается, что для демонстрации-описания многих заданий в отчёте записаны короткие видео-фрагменты с демонстрацией соответствующего момента

🧩 Задание можно дублировать если демонстрационного материала много :)",½,0,Віталій Ляпота,"Небольшая демка, иллюстрирующая конкретный момент 🧩",Відео-демки
"Подразумевается описание голосом того, что происходит на видео",1,0,Віталій Ляпота,Голосовое сопровождение видео-демки,Ефекти демок
,1,0,Віталій Ляпота,📽️ Золоті завдання на 90+,Відео-демки
"Опишите, какие использовали

⚛️ Количество монет может быть увеличено или уменьшено в зависимости от",1,0,Віталій Ляпота,"Дополнительные эффекты в видео ⚛️ ",Ефекти демок
⚛️ Количество монет может быть увеличено или уменьшено в зависимости от качества сайта,2,0,Віталій Ляпота,"Информационный сайт по игре ⚛️ ",Сайти та канали
,1,0,Віталій Ляпота,📽️ Спільна кодова база,Відео-демки
"Блог разработчика, в котором публикуется информация по поводу игры",2,0,Віталій Ляпота,Блог разработчика,Сайти та канали
Напишите ссылку-приглашение на телеграм-канал,1,0,Віталій Ляпота,Телеграм-канал по игре,Сайти та канали
⚛️ Количество монет может быть увеличено или уменьшено в зависимости от,2,0,Віталій Ляпота,"Активное ведение канала ⚛️ ",Сайти та канали
"Создание сообществ для продвижения игры через социальные сети путем создания каналов/чатов в Telegram, аккаунта игры в Instagram, страницы или группы игры в Facebook и т.д.

⚛️ Количество монет может быть увеличено или уменьшено в зависимости от количества и качества проработки сообщества",1,0,Віталій Ляпота,"Аккаунты в других соц. сетях (Facebook, Instagram, Twitch и т.п.) ⚛️ ",Сайти та канали
