✔️,Add,Назва,"Опис (це не ваш звіт, а лише опис завдання!) ⚠️",coins,used,Created by,color,Тип
,model,— (player),,0,32,Віталій Ляпота,⬛️,Як взаємодіє
,model,— (тільки візуальний об’єкт),,0,15,Михайло Середа,⬛️,Як взаємодіє
,model,✨ зникає,"Наприклад, об’єкт зникає, коли на нього наступає гравець",2,78,Віталій Ляпота,⬛️,Як взаємодіє
,model,⛔️непрохідний,"Наприклад, стандартна\звичайна стіна (непрохідна перешкода)",1,86,Віталій Ляпота,⬛️,Як взаємодіє
,model,🎉 victory,Власне це основне призначення клітини фінішу :),1,55,Віталій Ляпота,🟦,Як взаємодіє
,model,на початку гри,Створюється на початку гри,0,70,Віталій Ляпота,⬛️,Коли зʼявляється
,model,через деякий час,,1,32,Віталій Ляпота,🟦,Коли зʼявляється
,model,при знищенні Е.,,1,18,Віталій Ляпота,🟦,Коли зʼявляється
,model,використовує гравець,,1,33,Віталій Ляпота,🟦,Коли зʼявляється
,model,коли зібрали всі E.,,1,8,Віталій Ляпота,🟦,Коли зʼявляється
,model,не рухається,Ніяк не рухається,0,35,Віталій Ляпота,⬛️,Як рухається
,model,🖐 керується людиною,"Наприклад, за допомогою курсорних клавіш",1,91,Віталій Ляпота,,Як рухається
,model,↗️ діагонально,"Можливість для гравця рухатися навскіс(діагонально)\n💡Для цього можна використовувати або цифрову клавіатуру, або клавіші літер, або ж надати можливість користувачеві самостійно налаштовувати клавіші",2,8,Віталій Ляпота,🟦,Як рухається
,model,⏬ падіння (гравітація),"Падіння гравця додолу, якщо під ним відсутня опори\n(для базового виконання завдання достатньо, щоб гравець миттєво опинявся внизу)\nTODO:  інші елементи також можуть падати",2,15,Віталій Ляпота,🟦,Як рухається
,model,🏄‍♂️ некерована інерція,"Автоматичний рух гравця в певному напрямку (без можливості його змінити), поки він не зустрінеться з перешкодою, точкою зупинки або іншими ігровими елементами",0,11,Віталій Ляпота,🟦,Як рухається
,model,😃 керована інерція,"Автоматичний рух гравця в певному напрямку, але з можливістю змінити напрямок руху в будь-який момент",1,10,Віталій Ляпота,🟦,Як рухається
,model,🌀 анімація інерції (відразу в кінцеву точку),Пересування відразу до кінцевої точки,1,3,Віталій Ляпота,🟦,Як рухається
,model,🌀  анімація інерції,Є анімація пересування,2,8,Артем Воловий,🟦,Як рухається
,model,⏩ можливість  штовхати,"Наприклад, особливий вид перешкод (каміння), що ""переміщується"" гравцем",2,6,Віталій Ляпота,🟦,Як рухається
,model,прямолінійний рух,Вороги переміщаються по прямій лінії,1,24,Віталій Ляпота,🟦,Як рухається
,model,пересування за шаблоном,,1,12,Віталій Ляпота,,Як рухається
,model,наївний супротивник,"Супротивник рухається назустріч гравцеві, але водночас не зважає на наявність перешкод (тобто може впертися в перешкоду і ""тупити"")",2,12,Eugene Shchybria,,Як рухається
,model,—,Немає ніяких особливостей,0,14,Віталій Ляпота,⬛️,Інші особливості
,model,⛏ копає яму,,1,8,Віталій Ляпота,🟦,Інші особливості
☑️,system,Штовхає камені,OFIX: Хм... Це ж фіча самого каменя?..,,6,Віталій Ляпота,🟦,Інші особливості
,model,🦠 розмножується,,2,3,Віталій Ляпота,🟦,Інші особливості
,model,2️⃣ другий гравець,"На випадок, коли гра на двох (або по мережі, або за одним компом)",1,3,Віталій Ляпота,🟦,Інші особливості
,model,🧨 визначає сусідні міни,"Можливість для гравця дізнаватися, скільки поруч знаходиться прихованих мін",1,4,Віталій Ляпота,🟦,Інші особливості
,model,наявність інвентарю,Можливість збирати предмети для подальшого їх використання,1,10,Віталій Ляпота,🟦,Інші особливості
,model,🔫 стріляє,4,1,19,Віталій Ляпота,🟦,Інші особливості
,model,програш,,1,64,Віталій Ляпота,🟦,Як взаємодіє
,model,💰 plus score,Додавання деякої кількості очок (score) до поточного результату гравця,1,57,Віталій Ляпота,🟦,Як взаємодіє
,model,🌀 random teleport,🌀 телепорт у випадкове місце,1,6,Віталій Ляпота,🟦,Як взаємодіє
,model,⛔️ непрохідний для супротивників,,1,20,Віталій Ляпота,🟦,Інші особливості
,model,💥  знищуваність,,1,36,Віталій Ляпота,🟦,Інші особливості
,model,🔆автоматичне відновлення,"Наприклад, стіна, яка через якийсь час сама відновлюється (знову з'являється після знищення)",1,7,Віталій Ляпота,🟦,Інші особливості
,model,відчиняється ключем 🗝,,1,16,Віталій Ляпота,🟦,Інші особливості
,model,❗️  елемент обов'язковий,"Например, чтобы пройти уровень, нужно обязательно все призы",1,41,Віталій Ляпота,🟦,Інші особливості
,model,випадкова працездатність телепорту,"Мається на увазі, що він може або спрацювати, або не спрацювати (випадкова складова)",1,1,Віталій Ляпота,🟦,Інші особливості
,model,Маркування потенційних мін,маркування обраної сусідньої комірки,1,0,Михайло Середа,🟦,Інші особливості
,model,🌀 random teleport in area,🌀 випадковий телепорт у деякій області,1,0,Віталій Ляпота,🟦,Як взаємодіє
,model,🌀 random teleport nearby,🌀 випадковий телепорт поруч із гравцем,1,1,Віталій Ляпота,🟦,Як взаємодіє
,model,Телепортація,Між двома (або більше) певними телепортами на мапі,1,4,Нікіта Горщарук,,Як взаємодіє
,model,Телепорт на іншу карту,"(Не впевнений з приводу кількості монеток, напишіть мені будь ласка, якщо її потрібно зменшити)\nПереміщує гравця в задане місце заданої карти",2,2,Владислава Герасимова,,Як взаємодіє
,model,plus speed,Збільшення швидкості пересування гравця,1,4,Віталій Ляпота,🟦,Як взаємодіє
,model,minus speed,Зменшення швидкості пересування гравця,1,2,Віталій Ляпота,🟦,Як взаємодіє
,model,stops player,Зупинка. Актуально для інерціальних гравців,1,10,Віталій Ляпота,🟦,Як взаємодіє
,model,після руху гравця,,1,15,Михайло Середа,🟦,Коли зʼявляється
,model,кмітливий\розумний супротивник,"Деякий алгоритм поведінки, зазвичай залежний від гравця (наприклад, для руху до гравця можна використовувати хвильовий алгоритм з урахуванням перешкод)\nЗалежно від складності алгоритму кількість монет може бути збільшено/зменшено",4,23,Віталій Ляпота,,Як рухається
,model,інтелектуальний противник,,6,3,Віталій Ляпота,,Як рухається
